block_number,trial_number,state_id,stim_id,q_values,action
0,14618,State DG,DG,"[np.float64(0.09378265068724917), np.float64(-0.06700672013079967)]",1
0,14619,State EH,EH,"[np.float64(0.02690189153025524), np.float64(-0.35566916853885266)]",0
0,14620,State BH,BH,"[np.float64(-0.30310604070263514), np.float64(-0.35566916853885266)]",1
0,14621,State BH,BH,"[np.float64(-0.30310604070263514), np.float64(-0.35566916853885266)]",1
0,14622,State EF,EF,"[np.float64(0.02690189153025524), np.float64(-0.4081929226633528)]",0
0,14623,State AB,AB,"[np.float64(0.5480474319947898), np.float64(-0.30310604070263514)]",0
0,14624,State AN,AN,"[np.float64(0.5480474319947898), np.float64(-0.13)]",0
0,14625,State DN,DN,"[np.float64(0.09378265068724917), np.float64(-0.13)]",1
0,14626,State DG,DG,"[np.float64(0.09378265068724917), np.float64(-0.06700672013079967)]",0
0,14627,State AD,AD,"[np.float64(0.5480474319947898), np.float64(0.09378265068724917)]",0
0,14628,State CN,CN,"[np.float64(0.09622278919723226), np.float64(-0.13)]",0
0,14629,State DG,DG,"[np.float64(0.09378265068724917), np.float64(-0.06700672013079967)]",0
0,14630,State CF,CF,"[np.float64(0.09622278919723226), np.float64(-0.4081929226633528)]",0
0,14631,State AG,AG,"[np.float64(0.5480474319947898), np.float64(-0.06700672013079967)]",0
0,14632,State GH,GH,"[np.float64(-0.06700672013079967), np.float64(-0.35566916853885266)]",0
0,14633,State EF,EF,"[np.float64(0.02690189153025524), np.float64(-0.4081929226633528)]",1
0,14634,State BF,BF,"[np.float64(-0.30310604070263514), np.float64(-0.4081929226633528)]",1
0,14635,State CG,CG,"[np.float64(0.09622278919723226), np.float64(-0.06700672013079967)]",0
0,14636,State EH,EH,"[np.float64(0.02690189153025524), np.float64(-0.35566916853885266)]",0
0,14637,State BN,BN,"[np.float64(-0.30310604070263514), np.float64(-0.13)]",1
0,14638,State AF,AF,"[np.float64(0.5480474319947898), np.float64(-0.4081929226633528)]",0
0,14639,State DE,DE,"[np.float64(0.09378265068724917), np.float64(0.02690189153025524)]",0
0,14640,State AE,AE,"[np.float64(0.5480474319947898), np.float64(0.02690189153025524)]",0
0,14641,State FN,FN,"[np.float64(-0.4081929226633528), np.float64(-0.13)]",1
0,14642,State GH,GH,"[np.float64(-0.06700672013079967), np.float64(-0.35566916853885266)]",0
0,14643,State CG,CG,"[np.float64(0.09622278919723226), np.float64(-0.06700672013079967)]",0
0,14644,State DG,DG,"[np.float64(0.09378265068724917), np.float64(-0.06700672013079967)]",0
0,14645,State AH,AH,"[np.float64(0.5480474319947898), np.float64(-0.35566916853885266)]",0
0,14646,State EN,EN,"[np.float64(0.02690189153025524), np.float64(-0.13)]",0
0,14647,State BN,BN,"[np.float64(-0.30310604070263514), np.float64(-0.13)]",0
0,14648,State DN,DN,"[np.float64(0.09378265068724917), np.float64(-0.13)]",1
0,14649,State BG,BG,"[np.float64(-0.30310604070263514), np.float64(-0.06700672013079967)]",1
0,14650,State AD,AD,"[np.float64(0.5480474319947898), np.float64(0.09378265068724917)]",0
0,14651,State EF,EF,"[np.float64(0.02690189153025524), np.float64(-0.4081929226633528)]",0
0,14652,State EN,EN,"[np.float64(0.02690189153025524), np.float64(-0.13)]",0
0,14653,State AN,AN,"[np.float64(0.5480474319947898), np.float64(-0.13)]",0
0,14654,State BF,BF,"[np.float64(-0.30310604070263514), np.float64(-0.4081929226633528)]",0
0,14655,State AH,AH,"[np.float64(0.5480474319947898), np.float64(-0.35566916853885266)]",0
0,14656,State BE,BE,"[np.float64(-0.30310604070263514), np.float64(0.02690189153025524)]",1
0,14657,State GN,GN,"[np.float64(-0.06700672013079967), np.float64(-0.13)]",1
0,14658,State BE,BE,"[np.float64(-0.30310604070263514), np.float64(0.02690189153025524)]",1
0,14659,State BN,BN,"[np.float64(-0.30310604070263514), np.float64(-0.13)]",1
0,14660,State GH,GH,"[np.float64(-0.06700672013079967), np.float64(-0.35566916853885266)]",0
0,14661,State EN,EN,"[np.float64(0.02690189153025524), np.float64(-0.13)]",0
0,14662,State GH,GH,"[np.float64(-0.06700672013079967), np.float64(-0.35566916853885266)]",0
0,14663,State AF,AF,"[np.float64(0.5480474319947898), np.float64(-0.4081929226633528)]",0
0,14664,State AF,AF,"[np.float64(0.5480474319947898), np.float64(-0.4081929226633528)]",0
0,14665,State EH,EH,"[np.float64(0.02690189153025524), np.float64(-0.35566916853885266)]",0
0,14666,State EF,EF,"[np.float64(0.02690189153025524), np.float64(-0.4081929226633528)]",0
0,14667,State DH,DH,"[np.float64(0.09378265068724917), np.float64(-0.35566916853885266)]",0
0,14668,State HN,HN,"[np.float64(-0.35566916853885266), np.float64(-0.13)]",1
0,14669,State GH,GH,"[np.float64(-0.06700672013079967), np.float64(-0.35566916853885266)]",0
0,14670,State DF,DF,"[np.float64(0.09378265068724917), np.float64(-0.4081929226633528)]",0
0,14671,State EN,EN,"[np.float64(0.02690189153025524), np.float64(-0.13)]",0
0,14672,State DF,DF,"[np.float64(0.09378265068724917), np.float64(-0.4081929226633528)]",0
0,14673,State GF,GF,"[np.float64(-0.06700672013079967), np.float64(-0.4081929226633528)]",0
